NAME,ADDRESS,PHONE,WEBSITE,URL
Obinno Nigeria Resources,"No 6 Trans-Woji road, Elelenwo, near Chelsea Petrol Station, Port Harcourt; 4 Dyke lane Erema Street Omoku Town, Woji Town, Port Harcourt, Rivers State","0703 475 2925, 0708 614 1889, 0703 475 2925",https://obinnoscaffold.sitesng.com/,https://www.finelib.com/listing/Obinno-Nigeria-Resources/69022/
YBTech Nigeria,"19, Okporo Road off Aba road Artillery, Port Harcourt, River State","0808 165 9712, 0803 587 0339",https://www.ybtechnigeria.com/,https://www.finelib.com/listing/YBTech-Nigeria/78771/
Fisancol Transcontinental Services Ltd,"104 East-West Road, Port Harcourt, Rivers","+234 818 190 0683, +234 811 363 5381",http://www.fisancol.com.ng/,https://www.finelib.com/listing/Fisancol-Transcontinental-Services-Ltd/83033/
Fionet Security Services Limited,"No 11 Wonwu Crescent, off Professor Okijagu Road, Trans Amadi, Port Harcourt, Rivers State","08032001307, 09058392939, 09058394041",https://fionetsecurity.com,https://www.finelib.com/listing/Fionet-Security-Services-Limited/83527/
Mj Nextwood Global Services Ltd,"Obidave Plaza, Plot 202, Peter Odili Road by JDP Round About, Trans Amadi Port Harcourt, Rivers",0913 834 5040,https://mjnextwoodglobal.com,https://www.finelib.com/listing/Mj-Nextwood-Global-Services-Ltd/84420/
Accessfab Limited,"Plot 43B East-West Road Behind Clendac Filling Station, Eliogbolo Port Harcourt, Rivers State","0812 803 2012, 0807 295 1181",https://www.accessfabltd.com,https://www.finelib.com/listing/Accessfab-Limited/85625/
Udo Prevail Printers and Publishers,"No. 18 Nnewi Street, Mile One Diobu Port Harcourt, Rivers",0803 753 3373,https://udoprevailprinters.sitesng.com/,https://www.finelib.com/listing/Udo-Prevail-Printers-and-Publishers/94789/
Gochtech Nigeria Limited,"Suite 4, Sydney Plaza, Emenike Street, Diobu, Port Harcourt, Rivers State","0803 718 0691, 0805 855 5297, 01 724 8610",https://www.gochgroupng.com/,https://www.finelib.com/listing/Gochtech-Nigeria-Limited/95568/
Meshmax Limited,"Plot 6 Royal Villa Estate, Mgbesilaru, Port Harcourt, Rivers State","0708 772 8324, 0703 372 3382",https://meshmaxltd.com,https://www.finelib.com/listing/Meshmax-Limited/96124/
The Plant Inspection Nig Limited,"16 Ohaeto Steet, Dline Port Harcourt, Rivers State",0902 481 8312,https://plantinspection.org/,https://www.finelib.com/listing/The-Plant-Inspection-Nig-Limited/96893/
Barivan Chemicals Company,"Km 17 Aba Express Way, Port Harcourt, Rivers State","0803 538 7362, 0818 411 8306",https://www.barivanchemical.com.ng/,https://www.finelib.com/listing/Barivan-Chemicals-Company/97978/
Deslog Training & Consulting Limited,"321 Port-Harcourt Aba Expressway Opposite Toyota RT Briscoe Towards MTN office, Rumuokwurushi Port Harcourt, Rivers State","0803 088 6432, 0803 967 6125, 0806 005 4239",https://deslogconsult.com/iso-certification-services-in-nigeria/,https://www.finelib.com/listing/Deslog-Training--Consulting-Limited/101659/
Bayit Properties and Investment Ltd,"7/9 Mayegun Franklass Road, off Ojo-Alaba International Road, Ojo, Lagos","0908 299 7007, 0703 250 0306, 0809 608 4162",https://bayitpropertiesinvestment.com/,https://www.finelib.com/listing/Bayit-Properties-and-Investment-Ltd/101713/
The Plant Inspection Nigeria Limited,"16 Oheato Street, D/Line, Portharcourt, Rivers State",0902 481 8312,https://plantinspection.org/,https://www.finelib.com/listing/The-Plant-Inspection-Nigeria-Limited/101934/
Clarylife Global,"9 Bimko Crescent, off Sanni Abacha Road, GRA Phase III, Port Harcourt, Rivers","0705 649 7943, 0807 880 4771",https://clarylifeglobal.com,https://www.finelib.com/listing/Clarylife-Global/111301/
Hogan Guards,"2-4 FGGC Gate, Off Abuloma Road, Port-harcourt, Rivers",0811 395 0274,https://hoganguards.com/,https://www.finelib.com/listing/Hogan-Guards/111478/
Xtrem Fitness and Sports Enterprise,"16 Rumuokoro street, Rumuomasi Port Harcourt, Rivers","0902 983 9884, 0906 022 1899",https://xtremfitnessng.com/,https://www.finelib.com/listing/Xtrem-Fitness-and-Sports-Enterprise/112516/
View Point Publication,"Dugoye House, No. 1, Wokora Close, beside ACCESS Bank, Ikwere Road, Port-Harcourt, Rivers State","09131714220, 09072518312",https://viewpoint.com.ng/,https://www.finelib.com/listing/View-Point-Publication/112536/
Reason Engineering and Construction Ltd,"Km 14 Aba/ph Expressway, Portharcourt, Rivers State",0811 449 7797,https://reasonchidi.com/,https://www.finelib.com/listing/Reason-Engineering-and-Construction-Ltd/112552/
Dewlite Limited,"7A, Fifth Street, Elekahiah Housing Estate, Port Harcourt, Rivers State","+234 817 967 0881, +234 812 199 6371",https://dewliteltd.com/,https://www.finelib.com/listing/Dewlite-Limited/112593/
Farid Crochet Corner,"3, Bori Road behind Everyday Supermarket, Rumuibekwe,, Port Harcourt, Rivers",0701 097 5611,https://faridcrochetcorner.com/,https://www.finelib.com/listing/Farid-Crochet-Corner/112868/
Freshcool HVAC Limited,"29 Wright street, Ebute Metta Lagos, Nigeria","0815 890 0172, 08068779559",https://www.freshcoolhvac.com,https://www.finelib.com/listing/Freshcool-HVAC-Limited/112948/
Xclusive Rent A Car,"Ada-George Road, Rumuepirikom 500272, Port Harcourt, Rivers State, Nigeria","0916 391 0032, 0818 421 3766, 0802 643 4549",https://xclusiverentcars.com/,https://www.finelib.com/listing/Xclusive-Rent-A-Car/114322/
Brand Focus Feed Mill,"Farm Road, Rumuodomaya, Port Harcourt 500272, Rivers, Port-Harcourt, Rivers",0812 589 3894,https://www.riversfeeds.com,https://www.finelib.com/listing/Brand-Focus-Feed-Mill/114340/
Afrogric,"11 Mbonu Street D-Line, Port Harcourt, Rivers",0806 267 5130,https://afrogric.com/agro-product-exporter-in-nigeria/,https://www.finelib.com/listing/Afrogric/114344/
GGI International Nigeria Limited,"GGI Place, Plot 8 GGI Crescent, (Opp. Mikab Filling Station), East/ West Road, Rumuodara, Port Harcourt, Rivers state","0817 206 4337, 0814 774 0791, 0904 932 4030",https://ggigroupltd.com,https://www.finelib.com/listing/GGI-International-Nigeria-Limited/114349/
Simmyfranks West Africa Ltd.,"200 Aba Road, Opposite Hotel Presidential, Rumuola, Rivers state",0907 429 9354,https://simmyfranks.com/,https://www.finelib.com/listing/Simmyfranks-West-Africa-Ltd/114351/
Barnax Engineering Co. Nig. Ltd,"172A Aba Road, P.M.B 5355, Port Harcourt, Rivers state","0810 639 1800, 0802 223 0265",https://barnaxeng.com/,https://www.finelib.com/listing/Barnax-Engineering-Co-Nig-Ltd/114356/
A.Top Technical Limited,"278 Port Harcourt - Aba Expy, opposite Shell Residential Area, Rumuokwurusi Port Harcourt, Rivers state",0803 338 7460,https://atoptechnical.com.ng/,https://www.finelib.com/listing/ATop-Technical-Limited/114359/
T4M Agritech,"12c Ogoloma Street, Elechi, Port Harcourt 500101, Rivers, Port Harcourt, Rivers state",+44 203 1544 665,https://t4magritech.com/,https://www.finelib.com/listing/T4M-Agritech/114363/
Farm Innovation Nigeria Ltd,"20 Tip-Top Street Off, Psychiatric Hospital Rd, Port Harcourt, Port Harcourt, Rivers state",0906 239 0503,https://farmnovation.com/,https://www.finelib.com/listing/Farm-Innovation-Nigeria-Ltd/114364/
Goch Group Nigeria Limited,"Suite 4, Sydney Plaza, Emenike Street, Diobu, Port Harcourt, Rivers State","0805 855 5297, 0818 579 4808, 0808 180 4819",https://www.gochgroupng.com,https://www.finelib.com/listing/Goch-Group-Nigeria-Limited/114461/
Morigray Services Nig. Limited,"Quality Place No. 12A eagle island, Port Harcourt, Rivers",0806 041 7426,https://morigray.com.ng/,https://www.finelib.com/listing/Morigray-Services-Nig-Limited/114591/
Owo Integrated Services Ltd,"Plot 37 Ordinance Road, Trans Amadi, Port Harcourt, Rivers State","+234 803 469 4409, +234 805 203 0392",http://www.owoservices.com,https://www.finelib.com/listing/Owo-Integrated-Services-Ltd/116036/
Seaside Shipping Limited,"Trunk A sas road Rukpukwu, Port Harcout, Rivers state Nigeria","0806 411 8594, 0802 316 4928",https://seasideshipping.com.ng,https://www.finelib.com/listing/Seaside-Shipping-Limited/116210/
Eben UK Resources,"103 Ada George Road, Port Harcourt, Rivers",0706 4245 323,https://www.ebenukresources.com.ng,https://www.finelib.com/listing/Eben-UK-Resources/116398/
Audu Imonikhe & Co,"No. 36 Okoroji Street, D/Line, Port Harcourt, Rivers State","0803 370 7068, 0806 434 1810",https://auduimonikheandco.com/,https://www.finelib.com/listing/Audu-Imonikhe--Co/119637/
Spaklouds Massage,"No. 33 Total Gospel Road, De Premix Hotel. Off Peter odili road, Portharcourt, Rivers State","0810 689 6651, 0903 858 1307",https://spaklouds.com/service1.php,https://www.finelib.com/listing/Spaklouds-Massage/122999/
LandMall Properties,"55D Adebisi Omotola Close, Off Ajose Adeogun Street, Victoria Island, Lagos",0901 900 1190,https://www.landmall.ng/,https://www.finelib.com/listing/LandMall-Properties/125484/
Kabworld Physiotherapy & Co,"21 Bekwere Wosu Street, D-Line, Port Harcourt, Rivers State","0703 330 9554, 0807 699 8467, 0905 730 5324",https://kabworldphysio.com/,https://www.finelib.com/listing/Kabworld-Physiotherapy--Co/126101/
Omezuu Consult,"Ada George, Port Harcourt, Rivers State Nigeria","0809 607 6094, 0809 607 6094",https://mgs.ng/,https://www.finelib.com/listing/Omezuu-Consult/68045/
Petlodge Chambers,"475 Ikwerre road, Rumuokuta Port Harcourt, Rivers State","0803 474 3257, 0807 596 3239",https://www.aelex.com/,https://www.finelib.com/listing/Petlodge-Chambers/72862/
Ave Maria International Academy,"East West Road, Opposite Deeper Life Headquarters, Rumuodara Port Harcourt, Rivers","0814 181 6661, 0808 222 7440, 0905 522 1371",https://web.facebook.com/avemariainternationalacademyng/,https://www.finelib.com/listing/Ave-Maria-International-Academy/81150/
Britz Cleaning Services,"313 Old Refinery Road, Elelenwo, Portharcourt, Rivers State, Nigeria",0806 963 2299,https://www.facebook.com/Britz-Cleaning-Services-111887107313640/,https://www.finelib.com/listing/Britz-Cleaning-Services/83869/
Rosivylle Clinic & Urology Centre,"1,1 Ogwutum Street off NTA Road, (behind Conoil Station), Port Harcourt, Rivers",+234 809 833 6926,https://nationalhospital.gov.ng/,https://www.finelib.com/listing/Rosivylle-Clinic--Urology-Centre/95376/
Giocee Foods,"Wine Bar Road Alesa, Eleme, Rivers State",0913 629 6608,https://www.facebook.com/gioceefoods,https://www.finelib.com/listing/Giocee-Foods/95428/
"Benico Cake, Pastries and Food","Number 2 First Close, Stream View Estate, Atali Portharcourt, Rivers","0810 912 8760, 0813 512 9854",N/A,https://www.finelib.com/listing/Benico-Cake-Pastries-and-Food/111419/
TOEFL GRE SAT Center,"42 Iwofe Road, Port Harcourt, Rivers State",0809 607 6094,https://preparationforlife.com/,https://www.finelib.com/listing/TOEFL-GRE-SAT-Center/114747/
Clelite Construction Company Nigeria Limited,"2 Christ Chapel Road, Rumuokwurushi, Port Harcourt, Rivers State","0806 970 3496, 0805 065 6552",https://web.facebook.com/groups/528473018776566/?_rdc=1&_rd,https://www.finelib.com/listing/Clelite-Construction-Company-Nigeria-Limited/114767/
Tsanni Wellness,"Portharcourt Rivers State, Portharcourt, Rivers State","0806 993 8446, 0813 722 9697",https://www.instagram.com/tsanni_wellness?igsh=MWlhMnh1OWp0Z3MzZg%3D%3D&utm_source=qr,https://www.finelib.com/listing/Tsanni-Wellness/123113/
Davonath - Sand and Chipping,"42 Iwofe Road, off Ada George by Pepperoni Junction, Port Harcourt, Rivers State",0706 436 9295,https://wichtech.com/,https://www.finelib.com/listing/Davonath--Sand-and-Chipping/125425/
BCNREALTY,"Royal Gardens Estate, Port Harcourt, Rivers state",0813 975 7307,https://www.facebook.com/share/1GmupKAD4G/?mibextid=wwXIfr,https://www.finelib.com/listing/BCNREALTY/125510/
Romangate Project Services Limited,"5 Abuja By Pass, Port Harcourt, Rivers State, Nigeria","0802 330 4544, 0803 707 3251, 0803 677 1070",https://www.romangate.com/,https://www.finelib.com/listing/Romangate-Project-Services-Limited/7929/
Lanre Shittu Motors,"234, Aba Road, Port-Harcourt, Rivers State, Nigeria","0807 399 1881, 0807 399 1882",https://lanreshittu.com/,https://www.finelib.com/listing/Lanre-Shittu-Motors/21375/
Cita International School,"No 1 Cita Clos Rumuogba Housing Estate, Port Harcourt, Rivers State, Nigeria","0803 341 9229, 084 302 341",https://www.citainternationalschool.org/,https://www.finelib.com/listing/Cita-International-School/24578/
Brainfield Schools,"Brainfield Avenue, Eliogbolo, By Clendac Filling Station, off East-West Road, Port Harcourt, Rivers, Nigeria","0703 807 3078, 0803 555 3501, 0706 268 6412",https://brainfield.ng/,https://www.finelib.com/listing/Brainfield-Schools/33749/
Lanre Shittu Motors Nig. Limited,"234 Aba Road, Port Harcourt, Rivers State","0807 399 1881, 0807 399 1882",https://lanreshittu.com/,https://www.finelib.com/listing/Lanre-Shittu-Motors-Nig-Limited/36562/
Jerbell Global Resources,"125 Aba road by Waterlines Bus Stop, Opposite Dulux Paint, Port Harcourt, Rivers Nigeria","0708 980 0624, 0703 856 0954",https://www.jerbellsafety.com/,https://www.finelib.com/listing/Jerbell-Global-Resources/36817/
P.E. Bema Nigeria Limited,"Plot 146, 1st Avenue, Federal Housing Estate, Rumueme Port Harcourt, Rivers Nigeria",0803 312 3314,https://www.pebemaltd.com.ng/,https://www.finelib.com/listing/PE-Bema-Nigeria-Limited/38278/
Studio 24,"1 Onne Road, Woji Road, G.R.A Phase 2, Port Harcourt, Rivers State Nigeria",0803 367 3376,https://www.studio24nigeria.com/,https://www.finelib.com/listing/Studio-24/45001/
Enis Treasure Schools,"1 Suleiman Close Danjuma Drive, Trans-Amadi Port Harcourt, Rivers State Nigeria",0812 492 2400,https://www.enistreasureschools.com/,https://www.finelib.com/listing/Enis-Treasure-Schools/45059/
Brookstone International School,"No. 1 Brookstone Close, GRA Phase 3, Port Harcourt, Rivers State Nigeria","0703 402 2088, 0803 715 9797, 0807 885 5452",https://brookstoneng.org/,https://www.finelib.com/listing/Brookstone-International-School/45147/
Bereton Montessori Nursery & Primary School,"Plot 270 Liberation Stadium Road, Rumuomasi, Port Harcourt, Rivers State Nigeria",0815 090 3460,https://beretonmontessori.com/,https://www.finelib.com/listing/Bereton-Montessori-Nursery--Primary-School/45159/
Bodyboost Fitness & Health Club,"Plot F/6D Abacha Road, GRA Phase 3, Elechi Port Harcourt, Rivers Nigeria","0706 308 4038, 0810 892 5677, 0810 892 5675",http://www.bodyboostng.com/,https://www.finelib.com/listing/Bodyboost-Fitness--Health-Club/69412/
Accessfab Limited,"Plot 43B East-West Road, Behind Clendac Filling Station, Eliogbolo Port Harcourt, Rivers State Nigeria","0812 803 2012, 0807 295 1181",https://www.accessfabltd.com,https://www.finelib.com/listing/Accessfab-Limited/80288/
Vgc Kiddies World and Party Palace,"#105 Airport road Rumudumaya Rukpukwu round about opposite winners chapel church, Port Harcourt, Rivers",8037812770,https://vgceventsntravels.com.ng,https://www.finelib.com/listing/Vgc-Kiddies-World-and-Party-Palace/82313/
Kerridale Preparatory School,"13 Chief David Nna Layout, Mgbuesilara, Port Harcourt, Rivers State","0803 200 2399, 0703 502 7731",https://www.kerridalepreparatoryschool.com,https://www.finelib.com/listing/Kerridale-Preparatory-School/97147/
Prandelli Dental Clinic,"Siute 18, Ejike plaza, 24 Old Aba road, Rumuogba Port Harcourt, Rivers State",0913 073 2587,https://prandellidental.com.ng,https://www.finelib.com/listing/Prandelli-Dental-Clinic/101006/
Lightech - I.T Firm,"Suite C2 Lenu Plaza Gra Phase II, Port Harcourt, Rivers State",0808 856 8155,https://lightech.com.ng/,https://www.finelib.com/listing/Lightech--IT-Firm/111623/
Gossip my Beauty,"Gossip Plaza210,Aba Road Rumuola 190, Aba Road Rumuola Junction, PHC.667 Ikwere road Rumuokoro (opposite UBA bank), Port harcourt, Rivers",0703 394 2437,https://gossipmybeauty.com/,https://www.finelib.com/listing/Gossip-my-Beauty/114407/
Nibco Engineering,"No. 24 PH/ABA Express way, Oyigbo, Rivers State, Nigeria, Port Harcourt, Rivers State",0803 305 0484,https://nibcoengineering.com/,https://www.finelib.com/listing/Nibco-Engineering/114441/
Metro Digital Limited - SLTV,"No 12 Ordu Street, Rumuola Stadium link Road, GRA, Phase IV, Port Harcourt, Rivers State.","0915 415 1880, 0817 463 7583",https://metrodigital.tv/,https://www.finelib.com/listing/Metro-Digital-Limited--SLTV/118474/
Blue-Con Subsea Limited,"Beside St. Matthew Anglican church, 17A Trans-Amadi Industrial Layout Rd, 500102, Port Harcourt, Rivers State","0813 693 0724, 0803 340 6696, 0809 102 3333",https://blueconsubsea.com/,https://www.finelib.com/listing/BlueCon-Subsea-Limited/119641/
Deslog Training & Consulting Limited,"321 Port Harcourt /Aba Express Way, Port Harcourt, Rivers","0803 967 6125, 0803 088 6432",https://deslogconsult.com/ndt-training/,https://www.finelib.com/listing/Deslog-Training--Consulting-Limited/123375/
Machel Car Rental,"First Floor, Murjinatu House Excel Global. 1 Zambezi Crescent Off, Aguiyi Ironsi St,, Maitama, Abuja","0906 550 9353, 0803 912 5889",https://machel.ng/,https://www.finelib.com/listing/Machel-Car-Rental/125908/
DPR Port Harcourt Zonal Office,"4 -9, Moscow Road, Rivers State, Nigeria",0705 562 2222,N/A,https://www.finelib.com/listing/DPR-Port-Harcourt-Zonal-Office/7595/
Dripples Limited,"100, Rumuola Road, Port Harcourt, Rivers State, Nigeria","0807 429 8421, 0807 442 2777",N/A,https://www.finelib.com/listing/Dripples-Limited/7665/
Ideke Shipping Ltd,"Plot 465a Trans-Amadi Industrial Layout, Port Harcourt, Rivers State, Nigeria","0803 665 7850, 0803 445 4590, 0803 244 8140",https://seasideshipping.com.ng,https://www.finelib.com/listing/Ideke-Shipping-Ltd/7955/
Charlies Total Fitness,"57/59, Stadium Road, GRA Phase 4, Port Harcourt, Rivers State, Nigeria","0803 871 0538, 0805 549 9924",http://www.bodyboostng.com/,https://www.finelib.com/listing/Charlies-Total-Fitness/7983/
Gaff Multimedia,"88, Victoria Street, Port Harcourt, Rivers state",0706 690 9980,https://www.studio24nigeria.com/,https://www.finelib.com/listing/Gaff-Multimedia/8112/
Grafton Records,"9 Station Road, Port Harcourt, Rivers State Nigeria",0816 065 2922,N/A,https://www.finelib.com/listing/Grafton-Records/36053/
Shapes Fitness Centre,"23/25 Omerelu Street, GRA Phase 2, Portharcourt, Rivers, Nigeria",0803 483 4780,http://www.bodyboostng.com/,https://www.finelib.com/listing/Shapes-Fitness-Centre/36570/
Enerplaz Renewable Energy,"289, Portharcourt/ Aba Road, Port Harcourt, Rivers Nigeria","+234 803 754 3295, +234 813 608 7404",https://startimessolar.com.ng,https://www.finelib.com/listing/Enerplaz-Renewable-Energy/37676/
Francostech Limited,"Suite 12 Geoclad Plaza, by Omega Hospital Junction, Along Ada George Road, Mile 4, Port Harcourt, Rivers State, Nigeria","08033389728, 08182928042, 0803 338 9728",https://fionetsecurity.com,https://www.finelib.com/listing/Francostech-Limited/38730/
Tenstrings Music Institute,"7B Covenant Avenue, beside MummyB Church, off Stadium Road, GRA Phase 4 Port Harcourt, Rivers State Nigeria","0815 306 3126, 0818 247 8655, 0906 898 6760",N/A,https://www.finelib.com/listing/Tenstrings-Music-Institute/42172/
Jevant Spencer Agricultural Services,"Orosi House, 1st Floor, 28 Forces Avenue, Old G.R.A. Port Harcourt, Rivers State Nigeria","+234 701 812 3784, +234 909 653 2642",https://neogric.com,https://www.finelib.com/listing/Jevant-Spencer-Agricultural-Services/43637/
Sharpshooters Studios,"19 Chief Wopara Street off Geodectic Rd (by Shell IA Gate), Rumuomasi Port Harcourt, Rivers State Nigeria","0803 201 4117, 0809 991 0101",https://www.studio24nigeria.com/,https://www.finelib.com/listing/Sharpshooters-Studios/45168/
Splendourz Body & Lounges,"68a Woji Road, GRA Phase 2, Port Harcourt Nigeria",0803 674 7823,N/A,https://www.finelib.com/listing/Splendourz-Body--Lounges/45482/
Red Chilli Catering Services Limited,"6 Chief Nwuke Street, Trans Amadi Industrial Layout Port Harcourt, Rivers State Nigeria","0805 502 6660, 0703 125 0672",N/A,https://www.finelib.com/listing/Red-Chilli-Catering-Services-Limited/45541/
Tenstrings Music Institute,"7B Covenant Avenue the street besides Mummy Bï¿½s Church off Stadium Road, GRA Phase 4 Port Harcourt, Rivers Nigeria","0818 247 8655, 0815 306 3126, 0811 283 2539",https://smartdonentertainment.com/,https://www.finelib.com/listing/Tenstrings-Music-Institute/48901/
Famlang Internation Language Centre,"Irene Plaza, 6 Ebony Road, Port Harcourt, Rivers, Nigeria",0905 268 2650,https://www.ebenukresources.com.ng,https://www.finelib.com/listing/Famlang-Internation-Language-Centre/54334/
Edugow Real Estate,"Elimgbu, Port Harcourt, Rivers State Nigeria","0906 051 0373, 0701 821 7628",https://www.emmaakpaandco.com/,https://www.finelib.com/listing/Edugow-Real-Estate/67439/
Virtual Assistant,"Odili Road, Port Harcourt, Rivers State Nigeria",0703 108 7271,https://clarylifeglobal.com,https://www.finelib.com/listing/Virtual-Assistant/68706/
Aliza Aviv International,"No 1 Harmony Close Woji Road, Port Harcourt, Rivers Nigeria",0816 796 6767,https://www.mcreal.net/,https://www.finelib.com/listing/Aliza-Aviv-International/69050/
RalphCubittx Consultants Limited,"Suite 105, Ogba Shopping Arcade, Ijaiye Ogba, Lagos, Ogba Ijaiye, Lagos",0803 043 3182,N/A,https://www.finelib.com/listing/RalphCubittx-Consultants-Limited/70591/
LiveSpeech Coaching,"Chevron Drive, Lekki, Lekki, Lagos",0818 972 0737,https://schoolofeloquence.org/,https://www.finelib.com/listing/LiveSpeech-Coaching/72076/
Goldprince Global Resource,"No 4 ibemeru street, off Extension B, by Road 24, Agip Estate, Mile 4, Rumueme, Port Harcourt, Rivers, Nigeria","0812 502 6868, 0705 475 2579",N/A,https://www.finelib.com/listing/Goldprince-Global-Resource/75771/
IgoClean Services,"No 74 Airport Road, Rumuodomaya Port Harcourt, Port Harcourt, Rivers State","0808 609 7376, 0806 577 4367",N/A,https://www.finelib.com/listing/IgoClean-Services/77411/
VersionOne Travels,"129/ 131 Olu Obasanjo Road, 1st Floor, Imperial Plaza, Port Harcourt., Port Harcourt, Rivers State Nigeria",0817 000 0169,https://www.wakanow.com/en-ng/,https://www.finelib.com/listing/VersionOne-Travels/78601/
Ani David - Web Designer in Port Harcourt,"59 Aker Road, Iwofe, Port Harcourt, Rivers",0701 847 0195,N/A,https://www.finelib.com/listing/Ani-David--Web-Designer-in-Port-Harcourt/78936/
Wisetek Classic Construction,"No 4 Ekeson Close, Eligbolo, Port Harcourt, Rivers, Nigeria",0813 108 1594,https://silkplaster.com.ng/,https://www.finelib.com/listing/Wisetek-Classic-Construction/81671/
Derron Shipping and Logistics Services,"270 Trans Amadi Industrial, Port Harcourt, Rivers",84303894,https://seasideshipping.com.ng,https://www.finelib.com/listing/Derron-Shipping-and-Logistics-Services/82490/
Skyry Tasty Foods,"Suit 318 Ohahuru Plaza GRA phase 2, Port Harcourt, Rivers State","+234 706 927 1029, +234 706 927 1029",N/A,https://www.finelib.com/listing/Skyry-Tasty-Foods/83915/
Starhills Educational Consult,"Starhills Educational Consult, Suit C3/C4, Silas Plaza. 78 Ada George Road, Adjacent to Royal Dynasty Filling Station., Port Harcourt, Rivers State","07031489388(Enquiry), 07031482145(Partner)",https://www.innoglobaleducationalservices.com/,https://www.finelib.com/listing/Starhills-Educational-Consult/85045/
Eminentville Schools,"No 1 Eminentville Close, Off G.U.Ake/Airport Link Road, Eliogbolo, Port Harcourt, Rivers State","0902 541 2457, 0816 346 6826",https://giss.com.ng/,https://www.finelib.com/listing/Eminentville-Schools/87948/
Tonade Ocean Logistics Services Limited,"No 23, Flat 3, Rumuevorlu Street, Off Rumuoke Road, Ada-George Road, Mgbuoba, Port Harcourt, Rivers State",0811 805 6262,https://seasideshipping.com.ng,https://www.finelib.com/listing/Tonade-Ocean-Logistics-Services-Limited/88419/
Famlang International Language School,"No 6 Timothy Lane, Rumuola, Port Harcourt, Rivers State","0808 102 7728, 0905 268 2650",https://af-nigeria.org/,https://www.finelib.com/listing/Famlang-International-Language-School/88700/
The Boss Lounge,"86 Woji Road, GRA Phase II, Port Harcourt, Rivers State",0704 123 6851,N/A,https://www.finelib.com/listing/The-Boss-Lounge/88885/
Kulenga Research Lab Limited,"No. 3, close2, Chikwe-orlu street, Rumuigbo, Port Harcourt, Rivers State",8054358052,https://adroitlandstyle.com/,https://www.finelib.com/listing/Kulenga-Research-Lab-Limited/89321/
Garden City Orchestra,"101 A Brookstone Close G.R.A,, Port Harcourt, Rivers State",0909 594 2813,N/A,https://www.finelib.com/listing/Garden-City-Orchestra/91668/
Baze Global Signage,"Along G.U AKE road beside Benita filling station, Eliozu Port harcourt, Port harcourt, Rivers State","0703 931 3277, 0816 882 2872",http://abartworld.com/about-us/,https://www.finelib.com/listing/Baze-Global-Signage/95440/
